address,area,city,country,id,image_url,lat,lng,mobile_reserve_url,name,phone,postal_code,price,reserve_url,state
15 E. Winter St.,Columbus,Delaware,US,118339,https://www.opentable.com/img/restimages/118339.jpg,40.30015,-83.066856,http://mobile.opentable.com/opentable/?restId=118339,Veritas Tavern,7404174074,43015,3,http://www.opentable.com/single.aspx?rid=118339,OH
1295 Grandview Ave,Columbus,Columbus,US,96487,https://www.opentable.com/img/restimages/96487.jpg,39.984147,-83.044937,http://mobile.opentable.com/opentable/?restId=96487,SPAGIO,6144861114x1,43212,2,http://www.opentable.com/single.aspx?rid=96487,OH
3900 Chagrin Drive,Columbus,Columbus,US,76306,https://www.opentable.com/img/restimages/76306.jpg,40.048979,-82.911994,http://mobile.opentable.com/opentable/?restId=76306,The Dining Room - Columbus Easton,6144168419x,43219,3,http://www.opentable.com/single.aspx?rid=76306,OH
793 N. High St.,Columbus,Columbus,US,117079,https://www.opentable.com/img/restimages/117079.jpg,39.978598,-83.00401,http://mobile.opentable.com/opentable/?restId=117079,Hubbard Grille,6142915000x,43215,2,http://www.opentable.com/single.aspx?rid=117079,OH
35 N. High Street,Columbus,Dublin,US,35398,https://www.opentable.com/img/restimages/35398.jpg,40.100245,-83.114295,http://mobile.opentable.com/opentable/?restId=35398,Tucci's,6147923466x,43017,3,http://www.opentable.com/single.aspx?rid=35398,OH
121 Mill St. Suite 130,Columbus,Gahanna,US,109342,https://www.opentable.com/img/restimages/109342.jpg,40.020767,-82.879975,http://mobile.opentable.com/opentable/?restId=109342,Ciao Vino Italian Kitchen,6145325470x,43230,2,http://www.opentable.com/single.aspx?rid=109342,OH
1625 W Lane Ave,Columbus,Upper Arlington,US,100978,https://www.opentable.com/img/restimages/100978.jpg,40.00715,-83.053895,http://mobile.opentable.com/opentable/?restId=100978,Royal Ginger - Upper Arlington,6144887888,43221,2,http://www.opentable.com/single.aspx?rid=100978,OH
925 North State St.,Columbus,Westerville,US,116554,https://www.opentable.com/img/restimages/116554.jpg,40.150603,-82.922154,http://mobile.opentable.com/opentable/?restId=116554,Wine Bistro Westerville,6145234330,43082,2,http://www.opentable.com/single.aspx?rid=116554,OH
295 Marconi Blvd,Columbus,Columbus,US,110191,https://www.opentable.com/img/restimages/110191.jpg,39.968152,-83.00551,http://mobile.opentable.com/opentable/?restId=110191,BD's Mongolian Grill – Arena,6145860077,43215,2,http://www.opentable.com/single.aspx?rid=110191,OH
721 N. High St,Columbus,Columbus,US,94921,https://www.opentable.com/img/restimages/94921.jpg,39.977057,-83.003665,http://mobile.opentable.com/opentable/?restId=94921,Two Fish Bistro,6142218600,43215,2,http://www.opentable.com/single.aspx?rid=94921,OH
"1500 Polaris Parkway, Suite 220",Columbus,Columbus,US,13969,https://www.opentable.com/img/restimages/13969.jpg,40.141416,-82.978663,http://mobile.opentable.com/opentable/?restId=13969,Molly Woo's,6149859667x,43240,2,http://www.opentable.com/single.aspx?rid=13969,OH
4740 Reed Rd.,Columbus,Columbus,US,83425,https://www.opentable.com/img/restimages/83425.jpg,40.053129,-83.066111,http://mobile.opentable.com/opentable/?restId=83425,Nicola Restaurant and Bar,6144597000x,43220,2,http://www.opentable.com/single.aspx?rid=83425,OH
21 E. State St.,Columbus,Columbus,US,110248,https://www.opentable.com/img/restimages/110248.jpg,39.959779,-83.000348,http://mobile.opentable.com/opentable/?restId=110248,Manifesto Tuscan Grato and Scotch Bar,6142209327x,43215,2,http://www.opentable.com/single.aspx?rid=110248,OH
8591 Sancus Blvd,Columbus,Columbus,US,100975,https://www.opentable.com/img/restimages/100975.jpg,40.138839,-82.991982,http://mobile.opentable.com/opentable/?restId=100975,Royal Ginger - Columbus,6148461111,43240,2,http://www.opentable.com/single.aspx?rid=100975,OH
3000 Hayden Rd,Columbus,Columbus,US,150070,https://www.opentable.com/img/restimages/150070.jpg,40.066856,-83.096968,http://mobile.opentable.com/opentable/?restId=150070,BRAVO Cucina Italiana - Columbus - Bethel Road,6147911245,43235,2,http://www.opentable.com/single.aspx?rid=150070,OH
89 Nationwide Blvd.,Columbus,Columbus,US,80746,https://www.opentable.com/img/restimages/80746.jpg,39.968728,-82.999437,http://mobile.opentable.com/opentable/?restId=80746,89 Fish and Grill,6145864585x,43215,2,http://www.opentable.com/single.aspx?rid=80746,OH
900 Goodale Boulevard,Columbus,Columbus,US,97084,https://www.opentable.com/img/restimages/97084.jpg,39.974288,-83.026347,http://mobile.opentable.com/opentable/?restId=97084,Buckeye Hall of Fame Grill,6142996639x,43212,2,http://www.opentable.com/single.aspx?rid=97084,OH
2110 Tuttle Park Pl,Columbus,Columbus,US,109345,https://www.opentable.com/img/restimages/109345.jpg,40.004691,-83.016581,http://mobile.opentable.com/opentable/?restId=109345,Bistro 2110 - The Blackwell Hotel,6142472110,43210,2,http://www.opentable.com/single.aspx?rid=109345,OH
8701 Sancus Blvd,Columbus,Columbus,US,34675,https://www.opentable.com/img/restimages/34675.jpg,40.141446,-82.991763,http://mobile.opentable.com/opentable/?restId=34675,House of Japan - Polaris,614-781-1776,43240,2,http://www.opentable.com/single.aspx?rid=34675,OH
122 South High Street,Columbus,Columbus,US,115555,https://www.opentable.com/img/restimages/115555.jpg,39.959621,-83.000124,http://mobile.opentable.com/opentable/?restId=115555,Fin,614-461-4000x,43215,2,http://www.opentable.com/single.aspx?rid=115555,OH
16 W. Beck St,Columbus,Columbus,US,91342,https://www.opentable.com/img/restimages/91342.jpg,39.950472,-82.998858,http://mobile.opentable.com/opentable/?restId=91342,Tony's Italian Ristorante,6142248669,43215,2,http://www.opentable.com/single.aspx?rid=91342,OH
2185 W. Dublin-Granville Road,Columbus,Columbus,US,22051,https://www.opentable.com/img/restimages/22051.jpg,40.09012,-83.048936,http://mobile.opentable.com/opentable/?restId=22051,Cameron's American Bistro,6148853663x,43085,2,http://www.opentable.com/single.aspx?rid=22051,OH
12 W. Bridge St,Columbus,Dublin,US,62740,https://www.opentable.com/img/restimages/62740.jpg,40.099526,-83.114011,http://mobile.opentable.com/opentable/?restId=62740,Mezzo - Dublin,6148896100x,43017,2,http://www.opentable.com/single.aspx?rid=62740,OH
1803 Olentangy River Rd,Columbus,Columbus,US,150088,https://www.opentable.com/img/restimages/150088.jpg,39.996275,-83.025755,http://mobile.opentable.com/opentable/?restId=150088,BRAVO Cucina Italiana - Columbus - Lennox,6142918210,43212,2,http://www.opentable.com/single.aspx?rid=150088,OH
101 Mill St Ste 105,Columbus,Gahanna,US,111232,https://www.opentable.com/img/restimages/111232.jpg,40.019922,-82.879591,http://mobile.opentable.com/opentable/?restId=111232,The Wine Guy Bistro-Gahanna,6145360411,43230,2,http://www.opentable.com/single.aspx?rid=111232,OH
1530 Main St.,Dallas - Fort Worth,Dallas,US,106792,https://www.opentable.com/img/restimages/106792.jpg,32.780683,-96.79843,http://mobile.opentable.com/opentable/?restId=106792,CBD Provisions,2142614500x,75201,3,http://www.opentable.com/single.aspx?rid=106792,TX
4123 Cedar Springs,Dallas - Fort Worth,Dallas,US,115150,https://www.opentable.com/img/restimages/115150.jpg,32.81174,-96.813292,http://mobile.opentable.com/opentable/?restId=115150,Ai Sushi Sake Grill,2144684587x,75219,2,http://www.opentable.com/single.aspx?rid=115150,TX
1600 S. University,Dallas - Fort Worth,Fort Worth,US,114826,https://www.opentable.com/img/restimages/114826.jpg,32.728694,-97.36334,http://mobile.opentable.com/opentable/?restId=114826,Pacific Table,8178879995x,76107,2,http://www.opentable.com/single.aspx?rid=114826,TX
3609 Shire Blvd,Dallas - Fort Worth,Richardson,US,79192,https://www.opentable.com/img/restimages/79192.jpg,33.001372,-96.685655,http://mobile.opentable.com/opentable/?restId=79192,Texas,9726649975x,75082,3,http://www.opentable.com/single.aspx?rid=79192,TX
642 W Davis St,Dallas - Fort Worth,Dallas,US,106168,https://www.opentable.com/img/restimages/106168.jpg,32.749242,-96.83313,http://mobile.opentable.com/opentable/?restId=106168,Driftwood,2149422530x,75208-4744,3,http://www.opentable.com/single.aspx?rid=106168,TX
4812 Belt Line Road,Dallas - Fort Worth,Addison,US,140854,https://www.opentable.com/img/restimages/140854.jpg,32.954171,-96.830434,http://mobile.opentable.com/opentable/?restId=140854,Table 13,9727899558x,75001,3,http://www.opentable.com/single.aspx?rid=140854,TX
504 N. Oak St.,Dallas - Fort Worth,Roanoke,US,5775,https://www.opentable.com/img/restimages/5775.jpg,33.002,-97.227,http://mobile.opentable.com/opentable/?restId=5775,The Classic Cafe at Roanoke,8174308185,76262,3,http://www.opentable.com/single.aspx?rid=5775,TX
2323 N. Henderson Ave,Dallas - Fort Worth,Dallas,US,116560,https://www.opentable.com/img/restimages/116560.jpg,32.814177,-96.778272,http://mobile.opentable.com/opentable/?restId=116560,Gemma,2143709426x,75206,3,http://www.opentable.com/single.aspx?rid=116560,TX
"7200 Bishop Rd, #270",Dallas - Fort Worth,Plano,US,114550,https://www.opentable.com/img/restimages/114550.jpg,33.0764,-96.821231,http://mobile.opentable.com/opentable/?restId=114550,Sambuca - Plano,4694673393x,75024,2,http://www.opentable.com/single.aspx?rid=114550,TX
2600 W 7th Street,Dallas - Fort Worth,Fort Worth,US,139546,https://www.opentable.com/img/restimages/139546.jpg,32.752131,-97.353376,http://mobile.opentable.com/opentable/?restId=139546,Bite City Grill,8178773888x,76107,2,http://www.opentable.com/single.aspx?rid=139546,TX
2512 Maple Avenue,Dallas - Fort Worth,Dallas,US,139639,https://www.opentable.com/img/restimages/139639.jpg,32.795305,-96.803535,http://mobile.opentable.com/opentable/?restId=139639,Kennedy Room,2148800189,75201,2,http://www.opentable.com/single.aspx?rid=139639,TX
1617 Hi Line #250,Dallas - Fort Worth,Dallas,US,79417,https://www.opentable.com/img/restimages/79417.jpg,32.796041,-96.819722,http://mobile.opentable.com/opentable/?restId=79417,FT33,2147412629x,75207,3,http://www.opentable.com/single.aspx?rid=79417,TX
1717 Main Street,Dallas - Fort Worth,Dallas,US,40738,https://www.opentable.com/img/restimages/40738.jpg,32.78131,-96.796404,http://mobile.opentable.com/opentable/?restId=40738,Dallas Chop House,2147367300x,75201,3,http://www.opentable.com/single.aspx?rid=40738,TX
2015 Woodall Rodgers,Dallas - Fort Worth,Dallas,US,103876,https://www.opentable.com/img/restimages/103876.jpg,32.789571,-96.802097,http://mobile.opentable.com/opentable/?restId=103876,LARK on the Park,2148555275,75201,2,http://www.opentable.com/single.aspx?rid=103876,TX
